ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
9bd5e6cdc,netnegs,global_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.47,29.2556,29.0377,28.8135,28.4212,28.0261,27.6267,27.2221,26.8114,26.3939,25.9689,25.536,25.0947,24.6443,24.1395,23.6251,23.101,22.5667,22.0219,21.4663,20.8995,20.3212,19.7309,19.1282,18.4216,17.7054,16.9791,16.2426,15.4954,14.7373,13.9679,13.1868,12.3936,11.5877,10.7277,9.84663,8.94409,8.01974,7.07287,6.10314,5.10975,4.09217,3.04964,1.98133,0.821649,-0.368916,-1.59109,-2.84583,-4.13411,-5.45691,-6.81544,-8.21096,-9.64472,-11.1183,-12.7036,-14.3337,-16.0099,-17.7344,-19.509,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.18257e-06,-1.31264e-06,-1.09648e-06,-9.97426e-07,-9.42632e-07,-9.0989e-07,-8.89932e-07,-8.78102e-07,-8.71801e-07,-8.6942e-07,-8.64778e-07,-8.62651e-07,-8.6246e-07,-8.63771e-07,-8.6628e-07,-8.69747e-07,-8.73984e-07,-8.78851e-07,-8.84227e-07,-8.90023e-07,-8.92356e-07,-8.95134e-07,-8.98304e-07,-9.01824e-07,-9.05666e-07,-9.09812e-07,-9.14238e-07,-9.18947e-07,-9.23935e-07,-9.29203e-07,-9.31709e-07,-9.34627e-07,-9.37981e-07,-9.41798e-07,-9.46103e-07,-9.50933e-07,-9.56334e-07,-9.62354e-07,-9.69049e-07,-9.76483e-07,-9.82114e-07,-9.88692e-07,-9.96314e-07,-1.00509e-06,-1.01515e-06,-1.02665e-06,-1.03975e-06,-1.05467e-06,-1.07166e-06,-1.09101e-06
9bd5e6cdc,netnegs,temperature,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24759,1.26573,1.28373,1.3016,1.31922,1.33659,1.35372,1.3706,1.38722,1.40359,1.41969,1.43552,1.45108,1.46636,1.48132,1.49597,1.51029,1.52429,1.53794,1.55125,1.56421,1.57681,1.58904,1.6009,1.61232,1.6233,1.63382,1.64389,1.6535,1.66264,1.6713,1.67947,1.68716,1.69434,1.70099,1.7071,1.71264,1.71762,1.722,1.72579,1.72895,1.73149,1.73338,1.73461,1.73512,1.73489,1.7339,1.73214,1.72958,1.72619,1.72197,1.71688,1.7109,1.704,1.69613,1.68724,1.67731,1.66632,1.65422,1.64182,1.62942,1.61702,1.60462,1.59222,1.57982,1.56742,1.55502,1.54262,1.53022,1.51782,1.50542,1.49302,1.48062,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822,1.46822
9bd5e6cdc,netnegs,temperaturedot,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0182714,0.0181385,0.0180034,0.0178644,0.0176212,0.0173762,0.0171285,0.0168777,0.016623,0.0163642,0.0161007,0.0158323,0.0155587,0.0152795,0.0149665,0.0146476,0.0143226,0.0139914,0.0136536,0.0133091,0.0129577,0.0125991,0.0122332,0.0118595,0.0114214,0.0109773,0.010527,0.0100704,0.00960715,0.00913714,0.00866012,0.00817582,0.00768403,0.0071844,0.00665116,0.00610491,0.00554534,0.00497224,0.00438518,0.00378395,0.00316804,0.00253715,0.00189077,0.00122843,0.000509422,-0.000228728,-0.000986474,-0.00176442,-0.00256315,-0.00338329,-0.00422557,-0.0050908,-0.00597973,-0.00689334,-0.00787625,-0.00888687,-0.00992615,-0.0109953,-0.0120956,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-1.35319e-09,-8.13838e-10,-6.79817e-10,-6.18404e-10,-5.84432e-10,-5.64132e-10,-5.51758e-10,-5.44424e-10,-5.40516e-10,-5.3904e-10,-5.36163e-10,-5.34844e-10,-5.34725e-10,-5.35538e-10,-5.37093e-10,-5.39243e-10,-5.4187e-10,-5.44887e-10,-5.48221e-10,-5.51814e-10,-5.53261e-10,-5.54983e-10,-5.56949e-10,-5.59131e-10,-5.61513e-10,-5.64083e-10,-5.66827e-10,-5.69747e-10,-5.7284e-10,-5.76106e-10,-5.77659e-10,-5.79469e-10,-5.81548e-10,-5.83915e-10,-5.86584e-10,-5.89579e-10,-5.92927e-10,-5.96659e-10,-6.00811e-10,-6.0542e-10,-6.08911e-10,-6.12989e-10,-6.17715e-10,-6.23158e-10,-6.29396e-10,-6.36521e-10,-6.44647e-10,-6.53898e-10,-6.64432e-10,-6.76426e-10
9bd5e6cdc,netnegs,smoothed_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9bd5e6cdc,netnegs,cumulative_emissions,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),-5.00011e-09,41.278,80.3561,117.234,151.912,184.39,214.668,244.138,273.394,302.432,331.245,359.666,387.692,415.319,442.541,469.353,495.746,521.715,547.251,572.346,596.99,621.13,644.755,667.856,690.423,712.445,733.911,754.81,775.132,794.862,813.991,832.412,850.118,867.097,883.339,898.835,913.572,927.54,940.727,953.12,964.708,975.436,985.282,994.227,1002.25,1009.32,1015.42,1020.53,1024.62,1027.67,1029.66,1030.48,1030.11,1028.52,1025.67,1021.54,1016.08,1009.26,1001.05,991.409,980.291,967.587,953.253,937.243,919.509,900,880,860,840,820,800,780,760,740,720,700,680,660,640,620,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
9bd5e6cdc,netnegs,learning_factor,Global,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.739264,0.707998,0.680869,0.656967,0.635615,0.616463,0.599123,0.583304,0.568774,0.555352,0.542891,0.531271,0.520391,0.51017,0.500526,0.491409,0.482768,0.474558,0.466742,0.459284,0.452157,0.445334,0.43879,0.432507,0.426463,0.420652,0.415057,0.409666,0.404463,0.399439,0.39458,0.389878,0.385323,0.380908,0.376612,0.372424,0.368338,0.364351,0.360457,0.356654,0.352936,0.349302,0.345747,0.342268,0.338858,0.335513,0.332232,0.329012,0.325851,0.322748,0.3197,0.316705,0.313762,0.31087,0.308023,0.305221,0.302464,0.29975,0.297077,0.294482,0.291978,0.289557,0.287214,0.284946,0.282746,0.28061,0.278533,0.276513,0.274548,0.272634,0.270769,0.268951,0.267178,0.265447,0.264118,0.26281,0.261522,0.260255,0.259007,0.257778,0.256567,0.255374,0.254198,0.25304,0.251899,0.250775,0.249668,0.248578,0.247504,0.246445,0.245401,0.244372,0.243358,0.242358,0.241372,0.240401,0.239444,0.2385,0.23757,0.236652,0.235748,0.234855,0.233975,0.233106,0.23225,0.231406,0.230573,0.229752,0.228942,0.228143,0.227355,0.226577,0.225809,0.225051,0.224303,0.223565,0.222838,0.22212,0.221411,0.220713,0.220023,0.219342,0.218669,0.218005
9bd5e6cdc,netnegs,baseline,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),43.478,44.13,44.7521,45.3305,45.8585,46.3338,46.757,47.2719,47.8336,48.3893,48.9396,49.2355,49.5278,49.8171,50.1039,50.3885,50.6712,50.9523,51.232,51.5104,51.7876,52.0292,52.2693,52.5082,52.7457,52.982,53.2172,53.4511,53.6839,53.9154,54.1456,54.2381,54.3292,54.4188,54.507,54.5938,54.6792,54.7632,54.8457,54.9267,55.0061,55.233,55.456,55.675,55.8902,56.1015,56.309,56.5124,56.7118,56.907,57.0979,57.3122,57.5206,57.723,57.9192,58.1091,58.2924,58.469,58.6386,58.8009,58.9554,59.0833,59.2018,59.3105,59.4091,59.497,59.7869,60.1565,60.5291,60.9044,61.2822,61.7816,62.2826,62.7851,63.2888,63.7936,64.2995,64.8062,65.3136,65.8217,66.3303,68.8928,69.4297,69.9619,70.4896,71.0133,71.5331,72.0495,72.5626,73.0727,73.5799,73.9877,74.3939,74.7986,75.2018,75.6037,76.0042,76.4034,76.8014,77.1983,77.594,77.8919,78.1897,78.4872,78.7845,79.0814,79.3779,79.674,79.9697,80.2649,80.5597,80.7575,80.9556,81.1541,81.3527,81.5513,81.75,81.9486,82.1471,82.3454,82.5436,82.6452,82.7474,82.8501,82.9531,83.0564,83.1598,83.2633,83.3669,83.4705,83.574
9bd5e6cdc,netnegs,population,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
9bd5e6cdc,netnegs,regional_emissions,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,29.47,29.2556,29.0377,28.8135,28.4212,28.0261,27.6267,27.2221,26.8114,26.3939,25.9689,25.536,25.0947,24.6443,24.1395,23.6251,23.101,22.5667,22.0219,21.4663,20.8995,20.3212,19.7309,19.1282,18.4216,17.7054,16.9791,16.2426,15.4954,14.7373,13.9679,13.1868,12.3936,11.5877,10.7277,9.84663,8.94409,8.01974,7.07287,6.10314,5.10975,4.09217,3.04964,1.98133,0.821649,-0.368916,-1.59109,-2.84583,-4.13411,-5.45691,-6.81544,-8.21096,-9.64472,-11.1183,-12.7036,-14.3337,-16.0099,-17.7344,-19.509,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-2.18257e-06,-1.31264e-06,-1.09648e-06,-9.97426e-07,-9.42632e-07,-9.0989e-07,-8.89932e-07,-8.78102e-07,-8.71801e-07,-8.6942e-07,-8.64778e-07,-8.62651e-07,-8.6246e-07,-8.63771e-07,-8.6628e-07,-8.69747e-07,-8.73984e-07,-8.78851e-07,-8.84227e-07,-8.90023e-07,-8.92356e-07,-8.95134e-07,-8.98304e-07,-9.01824e-07,-9.05666e-07,-9.09812e-07,-9.14238e-07,-9.18947e-07,-9.23935e-07,-9.29203e-07,-9.31709e-07,-9.34627e-07,-9.37981e-07,-9.41798e-07,-9.46103e-07,-9.50933e-07,-9.56334e-07,-9.62354e-07,-9.69049e-07,-9.76483e-07,-9.82114e-07,-9.88692e-07,-9.96314e-07,-1.00509e-06,-1.01515e-06,-1.02665e-06,-1.03975e-06,-1.05467e-06,-1.07166e-06,-1.09101e-06
9bd5e6cdc,netnegs,carbonprice,WorldOrig,600 GtCO2,-20 GtCO2/yr,-0.0506,2442.3716 USD2005/tCO2,0.015,0.00267,1,0.62 delta_degC/(TtCO2),6.40764e-33,0.00968364,0.0364545,0.0763643,0.125659,0.181358,0.241314,0.263285,0.268408,0.273945,0.279829,0.286377,0.293205,0.300284,0.307595,0.31512,0.322849,0.330772,0.338882,0.347176,0.355651,0.365017,0.374571,0.384311,0.394238,0.404354,0.41466,0.42516,0.435859,0.446761,0.457875,0.470284,0.48294,0.495845,0.509006,0.522429,0.536122,0.550092,0.564348,0.578903,0.593766,0.610774,0.628162,0.64594,0.664119,0.682712,0.701732,0.721194,0.741115,0.761513,0.782409,0.805553,0.829296,0.853658,0.878664,0.904339,0.930711,0.957812,0.985676,1.01434,1.04385,1.07629,1.10974,1.14426,1.17991,1.21673,1.21709,1.2039,1.19114,1.17878,1.1668,1.1542,1.14197,1.13008,1.11853,1.1073,1.09637,1.08572,1.07536,1.06525,1.0554,0.645075,0.641879,0.638735,0.63564,0.632591,0.629589,0.626632,0.623719,0.620847,0.618017,0.61523,0.612486,0.609782,0.60712,0.604496,0.60191,0.599361,0.596848,0.594371,0.591928,0.589521,0.587149,0.58481,0.582506,0.580234,0.577992,0.575784,0.573604,0.571453,0.569332,0.56724,0.565179,0.563145,0.561139,0.559161,0.55721,0.555284,0.553384,0.551509,0.549658,0.547831,0.54603,0.544253,0.542499,0.540769,0.539063,0.537377,0.535714,0.534071,0.53245
