ID,Experiment,Variable,Region,carbonbudget,minlevel,inertia,gamma,PRTP,damage_coeff,perc_reversible,TCRE,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
7a8036562,netnegs,global_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,11.4641,10.6936,9.9427,9.20986,8.49403,7.79439,7.0581,6.33715,5.63145,4.94096,4.26573,3.60582,2.9614,2.33259,1.71954,1.1224,0.473594,-0.156076,-0.766392,-1.35708,-1.92799,-2.4789,-3.00963,-3.52,-4.0098,-4.47895,-5.03825,-5.58012,-6.10393,-6.60883,-7.0943,-7.55947,-8.00383,-8.42659,-8.82716,-9.20489,-9.64136,-10.0547,-10.4437,-10.8076,-11.1453,-11.4558,-11.738,-11.9909,-12.2133,-12.4041,-12.632,-12.8258,-12.9839,-13.1045,-13.186,-13.2265,-13.2236,-13.1755,-13.0796,-12.9332,-12.8212,-12.6514,-12.4198,-12.122,-11.7531,-11.3078,-10.7798,-10.1627,-9.4487,-8.62934,-7.69471,-6.63374,-5.4334,-4.07869,-2.5522,-0.83348,-0.00033305,-0.000114209,-7.01324e-05,-5.11711e-05,-4.02248e-05,-3.33867e-05,-2.8717e-05,-2.5332e-05,-2.27719e-05,-2.07734e-05,-1.9175e-05,-1.78723e-05,-1.67945e-05,-1.58922e-05,-1.50969e-05,-1.4424e-05,-1.38515e-05,-1.33627e-05,-1.29448e-05,-1.2588e-05,-1.22846e-05,-1.20286e-05,-1.18153e-05,-1.16412e-05,-1.14916e-05,-1.13782e-05,-1.12999e-05,-1.12559e-05,-1.12465e-05,-1.12729e-05,-1.1337e-05,-1.14421e-05,-1.15928e-05,-1.17957e-05,-1.20514e-05,-1.23814e-05,-1.28047e-05,-1.33493e-05,-1.40589e-05,-1.50059e-05,-1.632e-05,-1.82629e-05,-2.14703e-05,-2.81071e-05
7a8036562,netnegs,temperature,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),1.09622,1.12182,1.14604,1.16891,1.19041,1.21055,1.22932,1.24673,1.26277,1.27745,1.29077,1.30272,1.31331,1.32253,1.33039,1.3375,1.34413,1.3503,1.35601,1.36127,1.36611,1.37048,1.37441,1.3779,1.38097,1.38361,1.38585,1.38768,1.38913,1.39019,1.39089,1.39118,1.39109,1.39061,1.38977,1.38857,1.38704,1.38517,1.38299,1.3805,1.37773,1.3746,1.37114,1.36736,1.36326,1.35886,1.35418,1.34921,1.34399,1.33852,1.33281,1.32683,1.3206,1.31412,1.30742,1.30051,1.29341,1.28613,1.2787,1.27112,1.26343,1.2556,1.24765,1.2396,1.23148,1.2233,1.2151,1.2069,1.19873,1.19062,1.1826,1.17466,1.16681,1.15911,1.1516,1.14431,1.1373,1.13061,1.12431,1.11846,1.11311,1.10833,1.10422,1.10085,1.09832,1.09674,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622,1.09622
7a8036562,netnegs,temperaturedot,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),0,0.0255924,0.0242284,0.0228644,0.0215004,0.0201364,0.0187724,0.0174084,0.0160444,0.0146804,0.0133164,0.0119525,0.0105885,0.00922447,0.00786048,0.00710776,0.00663004,0.00616447,0.00571011,0.0052663,0.00483252,0.00437602,0.00392903,0.0034915,0.0030634,0.00264475,0.00223561,0.00183607,0.00144621,0.00106611,0.000695889,0.000293628,-9.67674e-05,-0.000475163,-0.00084139,-0.00119536,-0.00153692,-0.00186597,-0.0021824,-0.00248608,-0.00277695,-0.00312371,-0.00345968,-0.00378444,-0.00409747,-0.00439847,-0.00468687,-0.00496238,-0.00522449,-0.00547284,-0.00570703,-0.00597765,-0.00623389,-0.0064751,-0.00670071,-0.00691009,-0.00710258,-0.00727756,-0.00743436,-0.00757224,-0.00769052,-0.00783184,-0.00795202,-0.00805001,-0.00812482,-0.00817535,-0.00820042,-0.00819866,-0.0081688,-0.00810933,-0.00801858,-0.00794917,-0.00784386,-0.00770027,-0.00751566,-0.00728693,-0.00701082,-0.0066835,-0.00630088,-0.0058582,-0.00535019,-0.00477072,-0.00411292,-0.00336871,-0.00252879,-0.00158236,-0.000516758,-2.06491e-07,-7.08096e-08,-4.34821e-08,-3.17261e-08,-2.49393e-08,-2.06998e-08,-1.78046e-08,-1.57058e-08,-1.41186e-08,-1.28795e-08,-1.18885e-08,-1.10808e-08,-1.04126e-08,-9.85317e-09,-9.36006e-09,-8.94286e-09,-8.5879e-09,-8.28484e-09,-8.02578e-09,-7.80458e-09,-7.61646e-09,-7.45773e-09,-7.3255e-09,-7.21757e-09,-7.1248e-09,-7.05451e-09,-7.00591e-09,-6.97864e-09,-6.97284e-09,-6.98919e-09,-7.02894e-09,-7.0941e-09,-7.18754e-09,-7.31336e-09,-7.47184e-09,-7.67647e-09,-7.9389e-09,-8.27654e-09,-8.71651e-09,-9.30365e-09,-1.01184e-08,-1.1323e-08,-1.33116e-08,-1.74264e-08
7a8036562,netnegs,smoothed_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7a8036562,netnegs,cumulative_emissions,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),-5.00161e-09,41.278,80.3561,117.234,151.912,184.39,214.668,242.746,268.625,292.303,313.781,333.059,350.137,365.015,377.694,389.158,399.851,409.794,419.004,427.498,435.292,442.35,448.687,454.319,459.26,463.526,467.131,470.093,472.425,474.145,475.267,475.741,475.585,474.818,473.461,471.533,469.055,466.045,462.525,458.515,454.036,448.998,443.418,437.314,430.705,423.611,416.051,408.047,399.621,390.794,381.589,371.947,361.893,351.449,340.641,329.496,318.04,306.302,294.311,282.098,269.694,257.062,244.236,231.252,218.148,204.962,191.735,178.512,165.336,152.257,139.323,126.502,113.851,101.431,89.309,77.5559,66.2481,55.4682,45.3055,35.8568,27.2275,19.5328,12.899,7.46563,3.38694,0.834749,0.00126894,0.000935888,0.000821679,0.000751546,0.000700375,0.00066015,0.000626764,0.000598047,0.000572715,0.000549943,0.000529169,0.000509994,0.000492122,0.000475328,0.000459435,0.000444338,0.000429914,0.000416063,0.0004027,0.000389756,0.000377168,0.000364883,0.000352854,0.000341039,0.000329398,0.000317906,0.000306528,0.000295228,0.000283972,0.000272726,0.000261453,0.000250116,0.000238674,0.000227081,0.000215285,0.000203234,0.000190852,0.000178048,0.000164698,0.00015064,0.000135634,0.000119314,0.000101051,7.95805e-05,5.14734e-05
7a8036562,netnegs,learning_factor,Global,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),1,0.982794,0.950279,0.908634,0.863457,0.818552,0.776004,0.736719,0.700924,0.668499,0.639174,0.612732,0.588891,0.567287,0.547619,0.53004,0.514339,0.500184,0.48732,0.475552,0.464722,0.454699,0.445384,0.436694,0.428559,0.420919,0.413723,0.406929,0.4005,0.394401,0.388607,0.383091,0.377839,0.37283,0.368045,0.363469,0.359087,0.354885,0.350851,0.346976,0.343249,0.33965,0.336168,0.332798,0.329534,0.326371,0.323305,0.320331,0.317445,0.314644,0.311924,0.309278,0.306702,0.304194,0.301753,0.299374,0.297058,0.294801,0.292601,0.290458,0.288368,0.28633,0.28434,0.2824,0.280507,0.27866,0.276857,0.275099,0.273383,0.27171,0.270078,0.268483,0.266924,0.265401,0.263913,0.26246,0.261041,0.259658,0.25831,0.256997,0.255718,0.254475,0.253267,0.252095,0.250961,0.249863,0.248805,0.247771,0.24675,0.245741,0.244745,0.243761,0.242791,0.241832,0.240887,0.239953,0.239031,0.23812,0.237221,0.236332,0.235455,0.234588,0.233733,0.232889,0.232055,0.231232,0.230418,0.229616,0.228822,0.228038,0.227264,0.226499,0.225745,0.224999,0.224263,0.223536,0.222818,0.222108,0.221407,0.220715,0.220031,0.219354,0.218687,0.218027,0.217376,0.216733,0.216098,0.21547,0.21485,0.214236,0.213631
7a8036562,netnegs,baseline,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),43.478,44.0662,44.6355,45.1812,45.7014,46.1959,46.666,47.1131,47.5393,47.9467,48.3373,48.4761,48.6049,48.7253,48.8387,49.0345,49.2697,49.5077,49.7488,49.9931,50.2409,50.4583,50.6791,50.9035,51.1317,51.3637,51.5997,51.8396,52.0836,52.3316,52.5837,52.7074,52.8349,52.9662,53.1015,53.2407,53.3837,53.5307,53.6814,53.8359,53.9942,54.3043,54.6172,54.9332,55.2523,55.5746,55.9002,56.2292,56.5616,56.8974,57.2366,57.6099,57.9862,58.3656,58.7481,59.1338,59.5227,59.9148,60.3101,60.7086,61.1102,61.4988,61.89,62.2838,62.6803,63.0794,63.4811,63.8853,64.292,64.7011,65.1126,65.6464,66.1825,66.7207,67.2611,67.8035,68.3479,68.894,69.4418,69.991,70.5414,71.0927,71.6444,72.1963,72.7477,73.2981,73.8468,74.3629,74.8522,75.3399,75.8262,76.2127,76.599,76.9851,77.3708,77.7561,78.1411,78.5257,78.9099,79.2937,79.6771,79.962,80.2475,80.5335,80.8197,81.1062,81.3928,81.6795,81.9662,82.2529,82.5396,82.7284,82.9179,83.1081,83.2989,83.49,83.6815,83.8732,84.065,84.257,84.4491,84.5435,84.6388,84.7348,84.8315,84.9285,85.026,85.1237,85.2217,85.3198,85.4181
7a8036562,netnegs,population,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),7.6715,7.73712,7.80274,7.86836,7.93397,7.99959,8.06521,8.13083,8.19645,8.26206,8.32768,8.38063,8.43358,8.48653,8.53948,8.59243,8.64538,8.69833,8.75128,8.80423,8.85718,8.89571,8.93425,8.97279,9.01132,9.04986,9.0884,9.12693,9.16547,9.20401,9.24254,9.26429,9.28603,9.30777,9.32951,9.35126,9.373,9.39474,9.41648,9.43823,9.45997,9.46708,9.47419,9.48131,9.48842,9.49553,9.50264,9.50976,9.51687,9.52398,9.53109,9.52601,9.52092,9.51583,9.51075,9.50566,9.50057,9.49549,9.4904,9.48531,9.48023,9.46478,9.44932,9.43387,9.41842,9.40297,9.38752,9.37206,9.35661,9.34116,9.32571,9.30346,9.28121,9.25897,9.23672,9.21447,9.19222,9.16998,9.14773,9.12548,9.10323,9.08099,9.05874,9.03649,9.01425,8.992,8.96975,8.9475,8.92526,8.90301,8.88076,8.86296,8.84517,8.82737,8.80957,8.79177,8.77397,8.75618,8.73838,8.72058,8.70278,8.68944,8.67609,8.66274,8.64939,8.63604,8.62269,8.60935,8.596,8.58265,8.5693,8.5604,8.5515,8.5426,8.5337,8.52481,8.51591,8.50701,8.49811,8.48921,8.48031,8.47586,8.47141,8.46696,8.46251,8.45806,8.45361,8.44916,8.44472,8.44027,8.43582
7a8036562,netnegs,regional_emissions,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),43.478,41.278,39.078,36.878,34.6781,32.4781,30.2781,28.0781,25.8781,23.6781,21.4781,19.2782,17.0782,14.8782,12.6782,11.4641,10.6936,9.9427,9.20986,8.49403,7.79439,7.0581,6.33715,5.63145,4.94096,4.26573,3.60582,2.9614,2.33259,1.71954,1.1224,0.473594,-0.156076,-0.766392,-1.35708,-1.92799,-2.4789,-3.00963,-3.52,-4.0098,-4.47895,-5.03825,-5.58012,-6.10393,-6.60883,-7.0943,-7.55947,-8.00383,-8.42659,-8.82716,-9.20489,-9.64136,-10.0547,-10.4437,-10.8076,-11.1453,-11.4558,-11.738,-11.9909,-12.2133,-12.4041,-12.632,-12.8258,-12.9839,-13.1045,-13.186,-13.2265,-13.2236,-13.1755,-13.0796,-12.9332,-12.8212,-12.6514,-12.4198,-12.122,-11.7531,-11.3078,-10.7798,-10.1627,-9.4487,-8.62934,-7.69471,-6.63374,-5.4334,-4.07869,-2.5522,-0.83348,-0.00033305,-0.000114209,-7.01324e-05,-5.11711e-05,-4.02248e-05,-3.33867e-05,-2.8717e-05,-2.5332e-05,-2.27719e-05,-2.07734e-05,-1.9175e-05,-1.78723e-05,-1.67945e-05,-1.58922e-05,-1.50969e-05,-1.4424e-05,-1.38515e-05,-1.33627e-05,-1.29448e-05,-1.2588e-05,-1.22846e-05,-1.20286e-05,-1.18153e-05,-1.16412e-05,-1.14916e-05,-1.13782e-05,-1.12999e-05,-1.12559e-05,-1.12465e-05,-1.12729e-05,-1.1337e-05,-1.14421e-05,-1.15928e-05,-1.17957e-05,-1.20514e-05,-1.23814e-05,-1.28047e-05,-1.33493e-05,-1.40589e-05,-1.50059e-05,-1.632e-05,-1.82629e-05,-2.14703e-05,-2.81071e-05
7a8036562,netnegs,carbonprice,WorldOrig,1344 GtCO2,-20 GtCO2/yr,-0.0506,954.9608 USD2005/tCO2,0.03,0.0283483,1,0.62 delta_degC/(TtCO2),7.89992e-34,0.00378628,0.0142536,0.0298582,0.0491321,0.0709107,0.0943532,0.118876,0.144076,0.169669,0.195454,0.219898,0.244627,0.269577,0.294692,0.304853,0.308493,0.312122,0.31571,0.319235,0.322677,0.326686,0.33058,0.334345,0.337972,0.34145,0.344771,0.34793,0.350919,0.353735,0.356375,0.359692,0.362824,0.365765,0.368512,0.37106,0.373405,0.375547,0.377482,0.379209,0.380728,0.383207,0.385456,0.387471,0.389248,0.390784,0.392078,0.393126,0.393927,0.394479,0.394783,0.395693,0.396337,0.396713,0.396818,0.396648,0.396201,0.395475,0.394467,0.393174,0.391594,0.390464,0.389024,0.38727,0.385194,0.382792,0.380056,0.376979,0.373555,0.369775,0.365631,0.36168,0.357319,0.352535,0.347314,0.341639,0.335494,0.328859,0.321713,0.314035,0.305799,0.296976,0.287537,0.277448,0.266671,0.255165,0.242889,0.236613,0.235637,0.234673,0.233722,0.232783,0.231856,0.230941,0.230038,0.229146,0.228265,0.227396,0.226537,0.225688,0.22485,0.224023,0.223206,0.2224,0.221604,0.220817,0.220041,0.219274,0.218516,0.217768,0.217028,0.216298,0.215577,0.214866,0.214162,0.213468,0.212782,0.212105,0.211436,0.210774,0.210121,0.209475,0.208837,0.208208,0.207586,0.206971,0.206365,0.205765,0.205173,0.204587,0.204009
